Rank,state,abbr,size_one
0,California,CA,510726.4870278119
1,Arizona,AZ,73347.39433333332
2,Massachusetts,MA,70196.75000000015
3,New York,NY,45208.305000000255
4,New Jersey,NJ,30756.059999999932
5,Connecticut,CT,23214.28600000008
6,Texas,TX,8395.715499999984
7,Nevada,NV,6895.183999999993
8,New Mexico,NM,5353.583000000013
9,Missouri,MO,4322.427000000002
