Rank,state,abbr,size_kW
0,California,CA,1173274.031005978
1,Massachusetts,MA,486591.85199999966
2,New Jersey,NJ,158233.31999999992
3,Arizona,AZ,155117.21333333198
4,New York,NY,99345.00000000004
5,Missouri,MO,47369.64000000027
6,Texas,TX,41092.74249999996
7,Indiana,IN,39477.87500000001
8,Connecticut,CT,37004.352000000064
9,Nevada,NV,19123.063000000035
