Rank,state,abbr,size_two
0,California,CA,124146.32240140048
1,Arizona,AZ,43593.18100000005
2,Missouri,MO,38097.2130000002
3,New York,NY,38001.14499999996
4,Massachusetts,MA,33015.89100000008
5,New Jersey,NJ,23272.10200000002
6,Connecticut,CT,8026.105999999997
7,Texas,TX,5793.627000000003
8,Maryland,MD,5374.169999999993
9,New Hampshire,NH,5317.170000000002
